Lesson,Akoranga,Akoranga
Assessment,Aromatawai,Aromatawai
Any questions?,He pātai?,He pātai?
Quiz,Kēmu Patapatai,Kēmu Patapatai
Unit Plan,Mahere Kōwae,Mahere Kōwae
Homework,Mahi Kāinga,Mahi Kāinga
Do Now/Starter,Mahi Tuatahi,Mahi Tuatahi
Discussion,Matapaki,Matapaki
Task/Activity,Ngohe,Ngohe
Slides,Ngā Kirita,Ngā Kirita
Lesson Plans,Ngā Mahere Akoranga,Ngā Mahere Akoranga
Learning Outcomes,Ngā Whāinga Ako,Ngā Whāinga Ako
Question,Pātai,Pātai
Research,Rangahau,Rangahau
Game,Tākaro,Tākaro
Example/Model,Tauira,Tauira
Māori,Te Reo,Re Reo
The (singular)/the (plural),Te/Ngā,Te/Ngā
Investigation,Tūhura,Tūhura
Demonstration,Whakakite,Whakakite
Experiment,Whakamātau,Whakamātau
Preparation,Whakaritenga,Whakaritenga
Answer,Whakatika,Whakatika
Practise,Whakawai,Whakawai